Sample_ID,IGSN,Material,He,He3,He4,He3_He4,He3_He4(R/Ra),He4_Ar40,Ar,Ar36,Ar38,Ar40,Ar40_RG,Ar38_Ar36,Ar36_Ar40,Ar40_Ar36,Ar40_Ar39,Ne,Ne20,Ne22,Ne20_Ne22,Ne21_Ne22,Kr78,Kr82,Kr83,Kr84,Kr86,Kr90,Xe124,Xe126,Xe128,Xe129,Xe130,Xe131,Xe132,Xe134,Xe136,Xe129_Xe132,Xe136_Xe132,U234_ACTIVITY,U238_ACTIVITY,U234_U238_ACTIVITY,U234_U238,U238_Th230,U238_Th232_ACTIVITY,U238_Th232,U238_Pb204,DELTA_U234,Th230_ACTIVITY,Th232_ACTIVITY,Th230_Th232,Th230_Th232_ACTIVITY,Th230_U238_ACTIVITY,Th230_U238,Th232_U238,Th232_Pb204,Th228_Th232,Ra226,Ra226_ACTIVITY,Ra226_Th230,Ra226_Th230_ACTIVITY,Pb210,CO2,F,Cl,N2,Latitude,Longitute,Elevation,Tectonic,Rock,Reference,Method,Expedition,Analysis_Comment
MOA8518-040-001, ,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SINTON, 2003",NN,MW8518 , 
MOA8518-040-006, ,GL,6.94E-08,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"ANDESITE, igneous:volcanic:intermediate","MACPHERSON, 1998",MS,MW8518 , 
MOA8518-040-006, ,GL,0.000000561,,,,11.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"ANDESITE, igneous:volcanic:intermediate","MACPHERSON, 1998",MS,MW8518 , 
MOA8518-040-006, ,GL,,,0.00000237,,,,,,,,,,,,,,4.08E-10,,9.91,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2001",MS,MW8518 , 
MOA8518-040-006, ,GL,,,4.09E-08,,,,,,,,,,,,,,4.20E-13,,10.5,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2001",MS,MW8518 , 
MOA8518-040-006, ,GL,,,0.00000241,,,,,,,,,,,,,,4.12E-10,,9.91,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2001",MS,MW8518 , 
MOA8518-040-006, ,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SINTON, 2003",NN,MW8518 , 
MOA8518-040-006, ,GL,,,0.000000241,,,1100,,,,0.000000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MS,MW8518 , 
MOA8518-040-006, ,GL,,,0.000000237,,,1430,,,,0.000000045,1.65E-10,,,297.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MS,MW8518 , 
MOA8518-040-006, ,GL,,,4.09E-09,,,77,,,,6.60E-09,5.30E-11,,,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MS,MW8518 , 
MOA8518-040-006, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MANO,MW8518 , 
MOA8518-040-006, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MANO,MW8518 , 
MOA8518-040-006, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MANO,MW8518 , 
MOA8518-040-006, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MANO,MW8518 , 
MOA8518-040-006, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MANO,MW8518 , 
MOA8518-040-006, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2004",MANO,MW8518 , 
MOA8518-040-006, ,GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,182,1261,,-3.248333333,150.1283333,-2300,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2012",IMP,MW8518 , 
MOA8518-041-001, ,GL,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","MACPHERSON, 2000",MS,MW8518 , 
MOA8518-041-001, ,GL,,,3.48E-08,,,,,,,,,,,,,,6.27E-09,,9.85,0.0291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,150.2083333,-2375,BACK-ARC_BASIN,"BASALT, igneous:volcanic:mafic","SHAW, 2001",MS,MW8518 , 
